('ipiphone 6s có thể chiến được game pubg mobile mượt khong', {'entities': [(37, 48, 'GAME')]})
('samsung note 9 512gb o hcm con mau dong ko shop. gia tra gop ntn a', {'entities': [(23, 26, 'LOCATION'), (0, 14, 'PHONE'), (15, 18, 'ROM'), (35, 39, 'COLOR')]})
('ở hcm khu vực nào có hàng vậy shop?', {'entities': [(2, 5, 'LOCATION')]})
('lúc trước thấy con này được bảo hành rơi vỡ màn hình 3 tháng, bảo hành tận nhà luôn, giờ còn được áp dụng không shop ơi', {'entities': [(37, 52, 'IS_BROKEN_GLASS')]})
('hàng này chính hãng mới nguyên hộp luôn hả shop', {'entities': [(20, 34, 'IS_BRAND_NEW_OR_LIKE_NEW')]})
('thành phố hcm có hàng iphone iphone x 64g chính hãng chưa ạ?', {'entities': [(10, 13, 'LOCATION'), (22, 37, 'PHONE'), (38, 40, 'ROM'), (42, 52, 'WHAT_FROM_TYPE')]})
('nếu ko lấy quà thì có được giảm giá không, khi mua trả góp thì dựa trên giá gốc hay giá giảm vậy', {'entities': [(22, 41, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('muốn trả góp 0 % thì cần thủ tục hồ sơ như nào ạ....và nếu như thanh toán qua thẻ tín dụng thì e dùng viettinbank được k ạ...nếu như vậy 1 tháng e phải thanh toán là bao nhiêu ạ...mong được phản hồi sớm', {'entities': [(21, 32, 'IS_NEEDED')]})
('giảm giá với kh lấy quà thì còn giá bn', {'entities': [(13, 23, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('hiện tại còn thu cũ lên đời k ạ?', {'entities': [(13, 29, 'OTHER')]})
('iphone 8 plus 256 gb vàng giá bao nhiêu bạn', {'entities': [(0, 13, 'PHONE'), (14, 17, 'ROM'), (21, 25, 'COLOR')]})
('ko lấy quà giá bao nhiêu, mình ở sài gòn', {'entities': [(0, 10, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('add oi hiện bên cellphone còn khuyến mãi ko vậy?', {'entities': [(26, 43, 'IS_SALE_OFF_NOW')]})
('iphoneiphone 6s 32 ben shop con hang k a', {'entities': [(0, 15, 'PHONE'), (16, 18, 'ROM')]})
('màu đỏ ở bạch mai còn hàng không ạ? không lấy hàng khuyến mãi vs chuyển về nhà là giá bao nhiêu? có cường lực hay ốp kèm k ạ', {'entities': [(9, 17, 'LOCATION')]})
('hàng này của nước nào vậy shop', {'entities': [(13, 21, 'LOCATION')]})
('giá đó đã bao gồm vat chưa ạ?', {'entities': [(14, 21, 'IF_INCLUDE_TAX')]})
('cho mình iphone xin thông tin quà tặng bên mình ạ', {'entities': [(20, 38, 'SALE_OFF_GIFF')]})
('trả góp 0% sao vậy ads?', {'entities': [(0, 10, 'IS_NEEDED')]})
('sp mi8 pro này tặng pmh 2.100k có trừ thẳng vào giá ko vậy ad.', {'entities': [(34, 51, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('cho e hỏi máy còn màu đen ở khu vực tphcm k v ạ?', {'entities': [(22, 25, 'COLOR')]})
('khi nào thì bản 64gb mới có trả góp 0% hd saison vậy ạ', {'entities': [(0, 15, 'OTHER')]})
('cho em hỏi không có quà tặng kèm ạ ?', {'entities': [(20, 32, 'SALE_OFF_GIFF')]})
('hiện tại máy có mấy màu vậy ạ?', {'entities': [(13, 23, 'WHAT_ELSE_COLOR')]})
('có màu vàng ko anh', {'entities': [(7, 11, 'COLOR')]})
('samsung note 8 và samsung s8 có bản 128gb ko ạ', {'entities': [(0, 14, 'PHONE'), (18, 28, 'PHONE'), (36, 39, 'ROM')]})
('sản phẩm có chống nước không vậy ạ, tình trạng máy trước đó là như thế nào mà khách đổi trả vậy ạ. cảm ơn', {'entities': [(12, 22, 'IS_WATER_PROTECTED')]})
('cho mình hỏi có con iphone iphone x 64gb mới màu bạc ko ạ??? mình ở tphcm', {'entities': [(20, 35, 'PHONE'), (36, 38, 'ROM'), (49, 52, 'COLOR'), (68, 73, 'LOCATION')]})
('cho e hỏi nếu mua online và ko nhận quà thì dc trừ bao nhiêu tiền vào giá sản phẩm ạ', {'entities': [(28, 39, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('iphone xiaomi này có cài sẵn tiếng việt không, shop có hỗ trợ cài miễn phí hay phải tự cài', {'entities': [(21, 39, 'IS_VIETNAMESE_INSTALLED'), (0, 13, 'MANUFACTURER')]})
('nếu đúng thì ở long viên còn k?', {'entities': [(15, 24, 'LOCATION')]})
('trả trước bao nhiêu % ạ', {'entities': [(0, 19, 'IS_NEEDED')]})
('máy dùng chưa đến 2 tháng cellphones có hỗ trợ nhập lại không ? nếu có nhập lại thì chính sách thế nào ??', {'entities': [(40, 55, 'OTHER')]})
('shop có cửa hàng nào gần chùa láng nhất k v?', {'entities': [(25, 34, 'LOCATION')]})
('mình đang dùng aiphone iphone 8 plus muốn lên đổi samsung s9 thì giá cả thế nào shop', {'entities': [(15, 36, 'PHONE'), (50, 60, 'PHONE')]})
('mua trả góp có đc tặng quà không', {'entities': [(18, 26, 'SALE_OFF_GIFF')]})
('máy còn hàng ở của hàng ở bình dương ko.', {'entities': [(26, 36, 'LOCATION')]})
('máy này còn màu đen ko shop?', {'entities': [(16, 19, 'COLOR')]})
('mình trả trước 10tr vậy gớp ntn', {'entities': [(5, 14, 'IS_NEEDED')]})
('có nâng đc lên miui đc kk ạ ?', {'entities': [(0, 14, 'CAN_UPDATE')]})
('quà of cellphone là quà gì v à', {'entities': [(0, 16, 'SALE_OFF_GIFF')]})
('con này có ở bắc ninh ko ạ', {'entities': [(13, 21, 'LOCATION')]})
('iphone 7 plus rose gold 32gb đổi iphone 8 plus 64gb thì bù bao nhiêu vậy shop??', {'entities': [(0, 13, 'PHONE'), (14, 23, 'COLOR'), (24, 26, 'ROM'), (33, 46, 'PHONE'), (47, 49, 'ROM')]})
('chừng nào sản phẩm này về lại ạ?', {'entities': [(23, 29, 'OTHER')]})
('cho mình hỏi đã kích hoạt là đã qua sử dụng à', {'entities': [(16, 25, 'IS_BRAND_NEW_OR_LIKE_NEW')]})
('samsung samsung samsung s9 plus tra gop 0% thì ntn ?', {'entities': [(0, 31, 'PHONE'), (32, 39, 'IS_NEEDED')]})
('nếu mua trả góp thì mỗi tháng trả bao nhiêu ạ?', {'entities': [(8, 15, 'IS_NEEDED')]})
('chi nhánh quận 7 có samsung samsung a8 màu tím k ạ', {'entities': [(10, 16, 'LOCATION'), (20, 38, 'PHONE'), (43, 46, 'COLOR')]})
('giữ giùm em màu đen nha ad', {'entities': [(19, 22, 'COLOR')]})
('có chi nhánh ở cà mau k ạ', {'entities': [(15, 21, 'LOCATION')]})
('shop cho hỏi k lấy quà trừ được bn tiền vậy', {'entities': [(13, 22, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('hà nội vẫn chưa có iphone xanh à ad', {'entities': [(19, 30, 'COLOR'), (0, 6, 'LOCATION')]})
('siphone 8 plus có chuẩn kháng nước, kháng bụi, sạc nhanh không', {'entities': [(24, 34, 'IS_WATER_PROTECTED'), (0, 14, 'PHONE')]})
('máy chính hãng của thị trường nào vậy', {'entities': [(4, 14, 'WHAT_FROM_TYPE')]})
('samsung a9 có chống nước chống bụi ko vậy', {'entities': [(0, 10, 'PHONE'), (14, 24, 'IS_WATER_PROTECTED')]})
('cửa hàng cộng hòa còn iphone iphone 8 plus đỏ không', {'entities': [(9, 17, 'LOCATION'), (22, 42, 'PHONE'), (43, 45, 'COLOR')]})
('cho mình hỏi nếu mua máy + sạc + tai nghe tổng là bao nhiêu vậy shop?', {'entities': [(42, 59, 'OTHER')]})
('giạ còn máy này màu đen không ạ tư vấn cho mình với. mình ở hcm. sdt', {'entities': [(20, 23, 'COLOR')]})
('huawei nova 3e còn hàng ở cửa hàng nào ạ?', {'entities': [(0, 14, 'PHONE')]})
('loại này có màu đen không vậy?', {'entities': [(16, 19, 'COLOR')]})
('mua tra gop đua truoc nhieu vay', {'entities': [(0, 31, 'IS_NEEDED')]})
('cho mình hỏi nếu không lấy quà thì có được trừ vào sp không', {'entities': [(38, 53, 'IS_PRICE_AFTER_SALE_OFF_PRICE')]})
('có mã b/a ko ad', {'entities': [(6, 9, 'CODE')]})
('mua trả góp kỳ hạn 6 tháng thì trả trước bn và hàng tháng trả bn ạ', {'entities': [(0, 11, 'IS_NEEDED')]})
('iphone iphone x 64gb vn/a khi nào có màu trắng ạ', {'entities': [(0, 15, 'PHONE'), (16, 18, 'ROM'), (21, 25, 'CODE'), (41, 46, 'COLOR')]})
('bên mình hà nội còn hàng dạng này ko ad', {'entities': [(9, 15, 'LOCATION')]})
('tôi muốn mua trả góp thủ tục cần có những gì', {'entities': [(9, 20, 'IS_NEEDED')]})
